1_DMSO_1	2_DMSO_2	3_Sora_1	4_Sora_2	5_Tram_1	6_Tram_2
ENSG00000235084	20	17	21	34	21	25
ENSG00000252417	0	0	0	0	0	0
ENSG00000236500	0	0	0	0	0	0
ENSG00000197312	3558	3547	2317	2733	3549	3076
ENSG00000215695	0	0	0	0	0	0
ENSG00000271742	0	0	0	0	0	0
ENSG00000116786	1058	965	1107	1428	1256	1111
ENSG00000264048	0	0	0	0	0	0
ENSG00000237938	2	1	0	1	3	1
ENSG00000162461	1	2	9	14	6	8
ENSG00000224459	0	0	0	0	0	0
ENSG00000162460	0	1	0	0	3	1
ENSG00000162458	3360	3275	2744	3635	3219	2821
ENSG00000224321	32	33	35	25	19	38
ENSG00000233954	80	104	82	109	96	94
ENSG00000178715	11	9	8	16	12	16
ENSG00000179743	52	52	38	35	61	50
ENSG00000065526	4813	4701	3768	4505	4953	4415
ENSG00000238818	0	0	0	0	0	0
ENSG00000270620	0	0	0	0	0	0
ENSG00000116809	416	335	501	576	530	475
ENSG00000234607	0	0	0	0	0	0
ENSG00000231353	0	0	0	0	0	0
ENSG00000224966	0	0	0	0	0	0
ENSG00000183888	0	0	0	1	0	0
ENSG00000233078	0	0	0	0	0	0
ENSG00000173641	0	0	2	0	0	1
ENSG00000186510	0	1	0	0	1	1
ENSG00000232456	2	0	4	3	2	1
ENSG00000184908	0	0	0	1	0	1
ENSG00000185519	15	16	8	25	19	15
ENSG00000142627	9008	5881	1511	2012	5397	3243
ENSG00000227959	24	24	11	19	23	27
ENSG00000224621	23	20	9	13	12	17
ENSG00000234166	0	0	0	0	0	0
ENSG00000142632	529	470	622	789	652	748
ENSG00000237276	23	43	27	32	33	42
ENSG00000204377	34	44	26	22	37	38
ENSG00000132881	123	139	129	147	129	119
ENSG00000233929	0	0	0	1	1	1
ENSG00000037637	807	790	899	1012	988	847
ENSG00000055070	4727	4890	4204	5223	4994	4910
ENSG00000226457	4	6	2	6	7	4
ENSG00000187144	0	0	0	0	0	0
ENSG00000157191	1682	1657	1522	1973	1744	1600
ENSG00000226029	24	13	11	14	21	23
ENSG00000080947	16	9	14	12	12	12
ENSG00000206652	0	0	0	0	0	0
ENSG00000261135	1	5	4	5	6	6
ENSG00000224174	0	0	1	1	0	0
ENSG00000233421	0	0	0	0	1	0
ENSG00000268674	0	0	0	0	0	0
ENSG00000225710	0	1	1	0	0	0
ENSG00000266584	0	0	0	0	0	0
ENSG00000219481	981	1118	1428	1599	1500	1377
ENSG00000271732	0	1	0	0	0	1
ENSG00000215908	257	212	303	311	351	308
ENSG00000186301	32	20	62	59	52	46
ENSG00000207513	0	0	0	0	0	0
ENSG00000237847	0	0	0	0	0	0
ENSG00000264742	0	0	0	0	0	0
ENSG00000236698	27	19	19	29	31	27
ENSG00000268869	8	9	30	22	23	14
ENSG00000268991	0	0	0	0	0	0
ENSG00000058453	109	88	138	170	163	130
ENSG00000207389	0	0	0	0	0	0
ENSG00000227684	1	1	2	6	4	0
ENSG00000186715	90	75	210	214	157	156
ENSG00000223643	0	0	0	0	0	0
ENSG00000230239	0	0	1	0	0	0
ENSG00000263811	0	0	0	0	0	0
ENSG00000228549	1	2	1	2	0	5
ENSG00000238142	7	5	1	8	7	7
ENSG00000235241	2	2	0	4	1	0
ENSG00000207005	0	1	0	0	0	0
ENSG00000272426	0	0	2	1	0	1
ENSG00000117122	152	102	180	215	187	130
ENSG00000226526	0	0	0	0	0	0
ENSG00000159363	3823	2952	3672	5122	4595	3321
ENSG00000117118	2893	3109	3015	3925	3338	3101
ENSG00000117115	79	92	88	102	75	44
ENSG00000252180	0	0	0	0	0	0
ENSG00000204362	0	0	1	0	0	1
ENSG00000142623	125	134	119	119	141	141
ENSG00000142619	2	0	1	3	3	1
ENSG00000266634	0	0	0	0	0	0
ENSG00000159339	0	0	1	0	0	1
ENSG00000269468	0	0	0	0	0	0
ENSG00000256049	0	0	0	1	0	0
ENSG00000227751	0	0	0	0	0	0
ENSG00000179051	5943	6661	4855	6019	6773	6517
ENSG00000266727	0	0	0	0	0	0
ENSG00000239020	0	0	0	0	0	0
ENSG00000074964	1165	1073	2197	2537	1973	1901
ENSG00000236648	0	0	0	0	0	0
ENSG00000117148	0	9	6	3	4	3
ENSG00000261781	0	0	0	0	0	0
ENSG00000117154	1	0	0	0	0	0
ENSG00000230035	0	0	0	0	0	0
ENSG00000225387	0	0	0	0	0	0
ENSG00000179023	5	15	12	14	12	11
ENSG00000235282	0	0	0	0	2	0
ENSG00000225478	0	0	0	0	0	0
ENSG00000009709	8	7	6	8	2	25
ENSG00000179002	0	0	0	0	0	0
ENSG00000255275	0	0	0	0	1	0
ENSG00000159423	440	547	494	619	551	544
ENSG00000265606	0	0	0	0	0	0
ENSG00000221662	0	0	0	0	0	0
ENSG00000169991	1061	1112	774	986	1103	962
ENSG00000272084	4	4	3	0	7	3
ENSG00000127481	12076	11920	11026	13370	12112	10137
ENSG00000266098	4	1	1	2	0	4
ENSG00000230424	1	3	3	2	4	2
ENSG00000127463	2195	2361	2052	2433	2400	2257
ENSG00000053372	2976	3355	2070	2604	3027	3088
ENSG00000211454	51	51	65	61	56	59
ENSG00000162482	405	438	528	607	485	507
ENSG00000270728	53	37	46	56	51	48
ENSG00000053371	1154	1237	1361	1818	1493	1333
ENSG00000200403	1	1	2	0	1	0
ENSG00000040487	400	341	442	543	395	417
ENSG00000265192	0	0	0	0	0	0
ENSG00000077549	7349	7460	7612	9173	8644	7469
ENSG00000240490	0	0	0	0	0	0
ENSG00000201609	0	0	0	0	0	0
ENSG00000239027	0	0	0	0	0	0
ENSG00000235185	0	0	0	0	1	1
ENSG00000270136	0	0	0	0	0	0
ENSG00000173436	124	153	126	188	131	141
ENSG00000226396	7	3	8	2	5	4
ENSG00000158747	481	424	501	648	587	464
ENSG00000158748	0	1	1	2	0	2
ENSG00000162542	1044	970	1217	1529	1307	1199
ENSG00000178828	34	29	91	86	62	35
